-65.0,-11.0,-1.0
-65.0,-9.0,-1.0
-69.0,-7.0,-1.0
-69.0,-5.0,-1.0
-65.0,-7.0,-1.0
-65.0,-5.0,-1.0
-69.0,-3.0,-1.0
-69.0,-1.0,-1.0
-67.0,-3.0,-1.0
-65.0,-3.0,-1.0
-67.0,-1.0,-1.0
-65.0,-1.0,-1.0
-41.0,-33.0,-1.0
-39.0,-33.0,-1.0
-37.0,-33.0,-1.0
-35.0,-35.0,-1.0
-33.0,-35.0,-1.0
-35.0,-33.0,-1.0
-33.0,-33.0,-1.0
-25.0,-41.0,-1.0
-23.0,-41.0,-1.0
-19.0,-41.0,-1.0
-29.0,-37.0,-1.0
-25.0,-39.0,-1.0
-27.0,-37.0,-1.0
-25.0,-37.0,-1.0
-31.0,-35.0,-1.0
-29.0,-35.0,-1.0
-31.0,-33.0,-1.0
-29.0,-33.0,-1.0
-27.0,-35.0,-1.0
-25.0,-35.0,-1.0
-27.0,-33.0,-1.0
-23.0,-39.0,-1.0
-21.0,-39.0,-1.0
-23.0,-37.0,-1.0
-17.0,-39.0,-1.0
-19.0,-37.0,-1.0
-17.0,-37.0,-1.0
-21.0,-35.0,-1.0
-23.0,-33.0,-1.0
-21.0,-33.0,-1.0
-19.0,-35.0,-1.0
-17.0,-33.0,-1.0
-15.0,-45.0,-1.0
-9.0,-45.0,-1.0
-15.0,-43.0,-1.0
-13.0,-43.0,-1.0
-15.0,-41.0,-1.0
-13.0,-41.0,-1.0
-9.0,-43.0,-1.0
-11.0,-41.0,-1.0
-9.0,-41.0,-1.0
-1.0,-45.0,-1.0
-7.0,-43.0,-1.0
-5.0,-43.0,-1.0
-7.0,-41.0,-1.0
-5.0,-41.0,-1.0
-3.0,-43.0,-1.0
-1.0,-43.0,-1.0
-3.0,-41.0,-1.0
-13.0,-39.0,-1.0
-13.0,-37.0,-1.0
-9.0,-39.0,-1.0
-9.0,-37.0,-1.0
-15.0,-35.0,-1.0
-13.0,-35.0,-1.0
-15.0,-33.0,-1.0
-11.0,-35.0,-1.0
-9.0,-35.0,-1.0
-11.0,-33.0,-1.0
-7.0,-39.0,-1.0
-5.0,-39.0,-1.0
-7.0,-37.0,-1.0
-5.0,-37.0,-1.0
-3.0,-39.0,-1.0
-1.0,-39.0,-1.0
-1.0,-37.0,-1.0
-7.0,-35.0,-1.0
-5.0,-35.0,-1.0
